occupation_code	occupation_name	display_level	selectable	sort_sequence
232099	Legal Support Workers, All Other	3	T	269
250000	Educational Instruction and Library Occupations	0	T	270
251000	Postsecondary Teachers	1	T	271
251011	Business Teachers, Postsecondary	3	T	272
251020	Math and Computer Science Teachers, Postsecondary	2	T	273
251021	Computer Science Teachers, Postsecondary	3	T	274
251022	Mathematical Science Teachers, Postsecondary	3	T	275
251030	Engineering and Architecture Teachers, Postsecondary	2	T	276
251031	Architecture Teachers, Postsecondary	3	T	277
251032	Engineering Teachers, Postsecondary	3	T	278
251040	Life Sciences Teachers, Postsecondary	2	T	279
251041	Agricultural Sciences Teachers, Postsecondary	3	T	280
251042	Biological Science Teachers, Postsecondary	3	T	281
251043	Forestry and Conservation Science Teachers, Postsecondary	3	T	282
251050	Physical Sciences Teachers, Postsecondary	2	T	283
251051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	3	T	284
251052	Chemistry Teachers, Postsecondary	3	T	285
251053	Environmental Science Teachers, Postsecondary	3	T	286
251054	Physics Teachers, Postsecondary	3	T	287
251060	Social Sciences Teachers, Postsecondary	2	T	288
251061	Anthropology and Archeology Teachers, Postsecondary	3	T	289
251062	Area, Ethnic, and Cultural Studies Teachers, Postsecondary	3	T	290
251063	Economics Teachers, Postsecondary	3	T	291
251064	Geography Teachers, Postsecondary	3	T	292
251065	Political Science Teachers, Postsecondary	3	T	293
251066	Psychology Teachers, Postsecondary	3	T	294
251067	Sociology Teachers, Postsecondary	3	T	295
251069	Social Sciences Teachers, Postsecondary, All Other	3	T	296
251070	Health Teachers, Postsecondary	2	T	297
251071	Health Specialties Teachers, Postsecondary	3	T	298
251072	Nursing Instructors and Teachers, Postsecondary	3	T	299
251080	Education and Library Science Teachers, Postsecondary	2	T	300
251081	Education Teachers, Postsecondary	3	T	301
251082	Library Science Teachers, Postsecondary	3	T	302
251110	Law, Criminal Justice, and Social Work Teachers, Postsecondary	2	T	303
251111	Criminal Justice and Law Enforcement Teachers, Postsecondary	3	T	304
251112	Law Teachers, Postsecondary	3	T	305
251113	Social Work Teachers, Postsecondary	3	T	306
251120	Arts, Communications, History, and Humanities Teachers, Postsecondary	2	T	307
251121	Art, Drama, and Music Teachers, Postsecondary	3	T	308
251122	Communications Teachers, Postsecondary	3	T	309
251123	English Language and Literature Teachers, Postsecondary	3	T	310
251124	Foreign Language and Literature Teachers, Postsecondary	3	T	311
251125	History Teachers, Postsecondary	3	T	312
251126	Philosophy and Religion Teachers, Postsecondary	3	T	313
251190	Miscellaneous Postsecondary Teachers	2	T	314
251192	Family and Consumer Sciences Teachers, Postsecondary	3	T	315
251193	Recreation and Fitness Studies Teachers, Postsecondary	3	T	316
251194	Career/Technical Education Teachers, Postsecondary	3	T	317
251199	Postsecondary Teachers, All Other	3	T	318
252000	Preschool, Elementary, Middle, Secondary, and Special Education Teachers	1	T	319
252010	Preschool and Kindergarten Teachers	2	T	320
252011	Preschool Teachers, Except Special Education	3	T	321
252012	Kindergarten Teachers, Except Special Education	3	T	322
252020	Elementary and Middle School Teachers	2	T	323
252021	Elementary School Teachers, Except Special Education	3	T	324
252022	Middle School Teachers, Except Special and Career/Technical Education	3	T	325
252023	Career/Technical Education Teachers, Middle School	3	T	326
252030	Secondary School Teachers	2	T	327
252031	Secondary School Teachers, Except Special and Career/Technical Education	3	T	328
252032	Career/Technical Education Teachers, Secondary School	3	T	329
252050	Special Education Teachers	2	T	330
252051	Special Education Teachers, Preschool	3	T	331
252052	Special Education Teachers, Kindergarten and Elementary School	3	T	332
252057	Special Education Teachers, Middle School	3	T	333
252058	Special Education Teachers, Secondary School	3	T	334
252059	Special Education Teachers, All Other	3	T	335
253000	Other Teachers and Instructors	1	T	336
253011	Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	3	T	337
253021	Self-Enrichment Teachers	3	T	338
253031	Substitute Teachers, Short-Term	3	T	339
253041	Tutors	3	T	340
253099	Teachers and Instructors, All Other	3	T	341
254000	Librarians, Curators, and Archivists	1	T	342
254010	Archivists, Curators, and Museum Technicians	2	T	343
254011	Archivists	3	T	344
254012	Curators	3	T	345
254013	Museum Technicians and Conservators	3	T	346
254022	Librarians and Media Collections Specialists	3	T	347
254031	Library Technicians	3	T	348
259000	Other Educational Instruction and Library Occupations	1	T	349
259021	Farm and Home Management Educators	3	T	350
259031	Instructional Coordinators	3	T	351
259040	Teaching Assistants	2	T	352
259044	Teaching Assistants, Postsecondary	3	T	353
259045	Teaching Assistants, Except Postsecondary	3	T	354
259099	Educational Instruction and Library Workers, All Other	3	T	355
270000	Arts, Design, Entertainment, Sports, and Media Occupations	0	T	356
271000	Art and Design Workers	1	T	357
271010	Artists and Related Workers	2	T	358
271011	Art Directors	3	T	359
271012	Craft Artists	3	T	360
271013	Fine Artists, Including Painters, Sculptors, and Illustrators	3	T	361
271014	Special Effects Artists and Animators	3	T	362
271019	Artists and Related Workers, All Other	3	T	363
271020	Designers	2	T	364
271021	Commercial and Industrial Designers	3	T	365
271022	Fashion Designers	3	T	366
271023	Floral Designers	3	T	367
271024	Graphic Designers	3	T	368
271025	Interior Designers	3	T	369
271026	Merchandise Displayers and Window Trimmers	3	T	370
271027	Set and Exhibit Designers	3	T	371
271029	Designers, All Other	3	T	372
272000	Entertainers and Performers, Sports and Related Workers	1	T	373
272010	Actors, Producers, and Directors	2	T	374
272011	Actors	3	T	375
272012	Producers and Directors	3	T	376
272020	Athletes, Coaches, Umpires, and Related Workers	2	T	377
272021	Athletes and Sports Competitors	3	T	378
272022	Coaches and Scouts	3	T	379
272023	Umpires, Referees, and Other Sports Officials	3	T	380
272030	Dancers and Choreographers	2	T	381
272031	Dancers	3	T	382
272032	Choreographers	3	T	383
272040	Musicians, Singers, and Related Workers	2	T	384
272041	Music Directors and Composers	3	T	385
272042	Musicians and Singers	3	T	386
272090	Miscellaneous Entertainers and Performers, Sports and Related Workers	2	T	387
272091	Disc Jockeys, Except Radio	3	T	388
272099	Entertainers and Performers, Sports and Related Workers, All Other	3	T	389
273000	Media and Communication Workers	1	T	390
273011	Broadcast Announcers and Radio Disc Jockeys	3	T	391
273023	News Analysts, Reporters, and Journalists	3	T	392
273031	Public Relations Specialists	3	T	393
273040	Writers and Editors	2	T	394
273041	Editors	3	T	395
273042	Technical Writers	3	T	396
273043	Writers and Authors	3	T	397
273090	Miscellaneous Media and Communication Workers	2	T	398
273091	Interpreters and Translators	3	T	399
273092	Court Reporters and Simultaneous Captioners	3	T	400
273099	Media and Communication Workers, All Other	3	T	401
274000	Media and Communication Equipment Workers	1	T	402
274010	Broadcast, Sound, and Lighting Technicians	2	T	403
274011	Audio and Video Technicians	3	T	404
274012	Broadcast Technicians	3	T	405
274014	Sound Engineering Technicians	3	T	406
274015	Lighting Technicians	3	T	407
274021	Photographers	3	T	408
274030	Television, Video, and Film Camera Operators and Editors	2	T	409
274031	Camera Operators, Television, Video, and Film	3	T	410
274032	Film and Video Editors	3	T	411
274099	Media and Communication Equipment Workers, All Other	3	T	412
290000	Healthcare Practitioners and Technical Occupations	0	T	413
291000	Healthcare Diagnosing or Treating Practitioners	1	T	414
291011	Chiropractors	3	T	415
291020	Dentists	2	T	416
291021	Dentists, General	3	T	417
291022	Oral and Maxillofacial Surgeons	3	T	418
291023	Orthodontists	3	T	419
291029	Dentists, All Other Specialists	3	T	421
291031	Dietitians and Nutritionists	3	T	422
291041	Optometrists	3	T	423
291051	Pharmacists	3	T	424
291071	Physician Assistants	3	T	425
291081	Podiatrists	3	T	426
291120	Therapists	2	T	427
291122	Occupational Therapists	3	T	428
291123	Physical Therapists	3	T	429
291124	Radiation Therapists	3	T	430
291125	Recreational Therapists	3	T	431
291126	Respiratory Therapists	3	T	432
291127	Speech-Language Pathologists	3	T	433
291128	Exercise Physiologists	3	T	434
291129	Therapists, All Other	3	T	435
291131	Veterinarians	3	T	436
291141	Registered Nurses	3	T	437
291151	Nurse Anesthetists	3	T	438
291161	Nurse Midwives	3	T	439
291171	Nurse Practitioners	3	T	440
291181	Audiologists	3	T	441
291210	Physicians	2	T	442
291211	Anesthesiologists	3	T	443
291212	Cardiologists	3	T	444
291213	Dermatologists	3	T	445
291214	Emergency Medicine Physicians	3	T	446
291215	Family Medicine Physicians	3	T	447
291216	General Internal Medicine Physicians	3	T	448
291217	Neurologists	3	T	449
291218	Obstetricians and Gynecologists	3	T	450
291221	Pediatricians, General	3	T	451
291222	Physicians, Pathologists	3	T	452
291223	Psychiatrists	3	T	453
291224	Radiologists	3	T	454
291229	Physicians, All Other	3	T	455
291240	Surgeons	2	T	456
291241	Ophthalmologists, Except Pediatric	3	T	457
291242	Orthopedic Surgeons, Except Pediatric	3	T	458
291243	Pediatric Surgeons	3	T	459
291249	Surgeons, All Other	3	T	460
291290	Miscellaneous Healthcare Diagnosing or Treating Practitioners	2	T	461
291291	Acupuncturists	3	T	462
291292	Dental Hygienists	3	T	463
291299	Healthcare Diagnosing or Treating Practitioners, All Other	3	T	464
292000	Health Technologists and Technicians	1	T	465
292010	Clinical Laboratory Technologists and Technicians	2	T	466
292030	Diagnostic Related Technologists and Technicians	2	T	467
292031	Cardiovascular Technologists and Technicians	3	T	468
292032	Diagnostic Medical Sonographers	3	T	469
292033	Nuclear Medicine Technologists	3	T	470
292034	Radiologic Technologists and Technicians	3	T	471
292035	Magnetic Resonance Imaging Technologists	3	T	472
292036	Medical Dosimetrists	3	T	473
292040	Emergency Medical Technicians and Paramedics	2	T	474
292042	Emergency Medical Technicians	3	T	475
292043	Paramedics	3	T	476
292050	Health Practitioner Support Technologists and Technicians	2	T	477
292051	Dietetic Technicians	3	T	478
292052	Pharmacy Technicians	3	T	479
292053	Psychiatric Technicians	3	T	480
292055	Surgical Technologists	3	T	481
292056	Veterinary Technologists and Technicians	3	T	482
292057	Ophthalmic Medical Technicians	3	T	483
292061	Licensed Practical and Licensed Vocational Nurses	3	T	484
292072	Medical Records Specialists	3	T	485
292081	Opticians, Dispensing	3	T	486
292090	Miscellaneous Health Technologists and Technicians	2	T	487
292091	Orthotists and Prosthetists	3	T	488
292092	Hearing Aid Specialists	3	T	489
292099	Health Technologists and Technicians, All Other	3	T	490
299000	Other Healthcare Practitioners and Technical Occupations	1	T	491
299021	Health Information Technologists and Medical Registrars	3	T	493
299090	Miscellaneous Health Practitioners and Technical Workers	2	T	494
299091	Athletic Trainers	3	T	495
299092	Genetic Counselors	3	T	496
299093	Surgical Assistants	3	T	497
299099	Healthcare Practitioners and Technical Workers, All Other	3	T	498
310000	Healthcare Support Occupations	0	T	499
311100	Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides	2	T	500
311120	Home Health and Personal Care Aides	2	T	501
311130	Nursing Assistants, Orderlies, and Psychiatric Aides	2	T	502
311131	Nursing Assistants	3	T	503
311132	Orderlies	3	T	504
311133	Psychiatric Aides	3	T	505
312000	Occupational Therapy and Physical Therapist Assistants and Aides	1	T	506
312010	Occupational Therapy Assistants and Aides	2	T	507
312011	Occupational Therapy Assistants	3	T	508
312012	Occupational Therapy Aides	3	T	509
312020	Physical Therapist Assistants and Aides	2	T	510
312021	Physical Therapist Assistants	3	T	511
312022	Physical Therapist Aides	3	T	512
319000	Other Healthcare Support Occupations	1	T	513
319011	Massage Therapists	3	T	514
319090	Miscellaneous Healthcare Support Occupations	2	T	515
319091	Dental Assistants	3	T	516
319092	Medical Assistants	3	T	517
319093	Medical Equipment Preparers	3	T	518
319094	Medical Transcriptionists	3	T	519
319095	Pharmacy Aides	3	T	520
319096	Veterinary Assistants and Laboratory Animal Caretakers	3	T	521
319097	Phlebotomists	3	T	522
319099	Healthcare Support Workers, All Other	3	T	523
330000	Protective Service Occupations	0	T	524
331000	Supervisors of Protective Service Workers	1	T	525
331010	First-Line Supervisors of Law Enforcement Workers	2	T	526
331011	First-Line Supervisors of Correctional Officers	3	T	527
331012	First-Line Supervisors of Police and Detectives	3	T	528
331021	First-Line Supervisors of Firefighting and Prevention Workers	3	T	529
331090	Miscellaneous First-Line Supervisors, Protective Service Workers	2	T	530
331091	First-Line Supervisors of Security Workers	3	T	531
331099	First-Line Supervisors of Protective Service Workers, All Other	3	T	532
332000	Firefighting and Prevention Workers	1	T	533
332011	Firefighters	3	T	534
332020	Fire Inspectors	2	T	535
332021	Fire Inspectors and Investigators	3	T	536
332022	Forest Fire Inspectors and Prevention Specialists	3	T	537
333000	Law Enforcement Workers	1	T	538
333010	Bailiffs, Correctional Officers, and Jailers	2	T	539
333011	Bailiffs	3	T	540
333012	Correctional Officers and Jailers	3	T	541
333021	Detectives and Criminal Investigators	3	T	542
333031	Fish and Game Wardens	3	T	543
333041	Parking Enforcement Workers	3	T	544
333050	Police Officers	2	T	545
333051	Police and Sheriff's Patrol Officers	3	T	546
333052	Transit and Railroad Police	3	T	547
339000	Other Protective Service Workers	1	T	548
339011	Animal Control Workers	3	T	549
339021	Private Detectives and Investigators	3	T	550
339030	Security Guards and Gambling Surveillance Officers	2	T	551
339031	Gaming Surveillance Officers and Gambling Investigators	3	T	552
339032	Security Guards	3	T	553
339090	Miscellaneous Protective Service Workers	2	T	554
339091	Crossing Guards and Flaggers	3	T	555
339092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	3	T	556
339093	Transportation Security Screeners	3	T	557
339094	School Bus Monitors	3	T	558
339099	Protective Service Workers, All Other	3	T	559
350000	Food Preparation and Serving Related Occupations	0	T	560
351010	Supervisors of Food Preparation and Serving Workers	2	T	561
351011	Chefs and Head Cooks	3	T	562
351012	First-Line Supervisors of Food Preparation and Serving Workers	3	T	563
352000	Cooks and Food Preparation Workers	1	T	564
352010	Cooks	2	T	565
352011	Cooks, Fast Food	3	T	566
352012	Cooks, Institution and Cafeteria	3	T	567
352013	Cooks, Private Household	3	T	568
352014	Cooks, Restaurant	3	T	569
352015	Cooks, Short Order	3	T	570
352019	Cooks, All Other	3	T	571
352021	Food Preparation Workers	3	T	572
353000	Food and Beverage Serving Workers	1	T	573
353011	Bartenders	3	T	574
353023	Fast Food and Counter Workers	3	T	575
353031	Waiters and Waitresses	3	T	576
353041	Food Servers, Nonrestaurant	3	T	577
359000	Other Food Preparation and Serving Related Workers	1	T	578
359011	Dining Room and Cafeteria Attendants and Bartender Helpers	3	T	579
359021	Dishwashers	3	T	580
359031	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	3	T	581
359099	Food Preparation and Serving Related Workers, All Other	3	T	582
370000	Building and Grounds Cleaning and Maintenance Occupations	0	T	583
371010	First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers	2	T	584
371011	First-Line Supervisors of Housekeeping and Janitorial Workers	3	T	585
371012	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	3	T	586
372000	Building Cleaning and Pest Control Workers	1	T	587
372010	Building Cleaning Workers	2	T	588
372011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	3	T	589
372012	Maids and Housekeeping Cleaners	3	T	590
372019	Building Cleaning Workers, All Other	3	T	591
372021	Pest Control Workers	3	T	592
373010	Grounds Maintenance Workers	2	T	593
373011	Landscaping and Groundskeeping Workers	3	T	594
373012	Pesticide Handlers, Sprayers, and Applicators, Vegetation	3	T	595
373013	Tree Trimmers and Pruners	3	T	596
373019	Grounds Maintenance Workers, All Other	3	T	597
390000	Personal Care and Service Occupations	0	T	598
391000	Supervisors of Personal Care and Service Workers	1	T	599
391010	First-Line Supervisors of Entertainment and Recreation Workers	2	T	600
391013	First-Line Supervisors of Gambling Services Workers	3	T	601
391014	First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services	3	T	602
391022	First-Line Supervisors of Personal Service Workers	3	T	603
392000	Animal Care and Service Workers	1	T	604
392011	Animal Trainers	3	T	605
392021	Animal Caretakers	3	T	606
393000	Entertainment Attendants and Related Workers	1	T	607
393010	Gambling Services Workers	2	T	608
393011	Gambling Dealers	3	T	609
393012	Gambling and Sports Book Writers and Runners	3	T	610
393019	Gambling Service Workers, All Other	3	T	611
393021	Motion Picture Projectionists	3	T	612
393031	Ushers, Lobby Attendants, and Ticket Takers	3	T	613
393090	Miscellaneous Entertainment Attendants and Related Workers	2	T	614
393091	Amusement and Recreation Attendants	3	T	615
393092	Costume Attendants	3	T	616
393093	Locker Room, Coatroom, and Dressing Room Attendants	3	T	617
